county|street|city|state|zip|beds|baths|sqft|acres|type|year_built|heating|cooling|parking|HOA|lot|sep_2011|oct_2011|nov_2011|dec_2011|jan_2012|feb_2012|mar_2012|apr_2012|may_2012|jun_2012|jul_2012|aug_2012|sep_2012|oct_2012|nov_2012|dec_2012|jan_2013|feb_2013|mar_2013|apr_2013|may_2013|jun_2013|jul_2013|aug_2013|sep_2013|oct_2013|nov_2013|dec_2013|jan_2014|feb_2014|mar_2014|apr_2014|may_2014|jun_2014|jul_2014|aug_2014|sep_2014|oct_2014|nov_2014|dec_2014|jan_2015|feb_2015|mar_2015|apr_2015|may_2015|jun_2015|jul_2015|aug_2015|sep_2015|oct_2015|nov_2015|dec_2015|jan_2016|feb_2016|mar_2016|apr_2016|may_2016|jun_2016|jul_2016|aug_2016|sep_2016|oct_2016|nov_2016|dec_2016|jan_2017|feb_2017|mar_2017|apr_2017|may_2017|jun_2017|jul_2017|aug_2017|sep_2017|oct_2017|nov_2017|dec_2017|jan_2018|feb_2018|mar_2018|apr_2018|may_2018|jun_2018|jul_2018|aug_2018|sep_2018|oct_2018|nov_2018|dec_2018|jan_2019|feb_2019|mar_2019|apr_2019|may_2019|jun_2019|jul_2019|aug_2019|sep_2019|oct_2019|nov_2019|dec_2019|jan_2020|feb_2020|mar_2020|apr_2020|may_2020|jun_2020|jul_2020|aug_2020|sep_2020|oct_2020|nov_2020|dec_2020|jan_2021|feb_2021|mar_2021|apr_2021|may_2021|jun_2021|jul_2021|aug_2021|sep_2021|oct_2021|nov_2021|dec_2021
Hardee|117 Rust Ave|Wauchula|FL|33873|4|2|1750|NA|SINGLE_FAMILY|1980|Forced air|Central|Garage - Detached|NA|0.38 Acres|81.0|79.0|77.3|78.1|75.8|75.8|75.4|75.2|76.9|79.0|76.7|76.9|76.7|78.5|79.1|80.0|79.5|80.0|80.4|80.7|82.6|84.6|83.5|84.1|84.2|86.7|86.8|86.2|90.4|95.3|100.0|98.7|96.2|97.3|97.2|95.3|96.5|97.5|100.2|101.5|97.3|96.4|96.2|95.6|94.8|95.4|95.8|99.0|93.1|95.7|98.3|95.8|97.1|97.5|98.3|98.9|101.3|100.7|101.4|102.2|102.6|93.3|95.5|95.4|101.5|102.8|99.4|101.3|104.0|107.9|104.8|104.8|107.4|103.3|108.4|109.8|151.8|152.4|159.9|163.2|163.9|164.7|169.2|182.3|229.3|209.7|201.4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
Hardee|224 Soggy Bottom Ln|Wauchula|FL|33873|5|3|3185|NA|SINGLE_FAMILY|2007|Forced air|Central|NA|NA|5.03 Acres|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|170.2|173.4|167.2|174.2|167.1|170.3|177.2|174.2|147.9|125.7|132.2|145.6|245.7|248.3|249.1|250.8|255.8|247.8|256.3|250.3|263.9|262.7|269.0|272.1|257.9|266.0|255.3|265.6|255.6|254.9|255.9|273.7|269.0|278.4|283.8|283.5|284.9|274.4|268.7|287.9|290.6|308.1|320.2|303.4|302.4|297.0|277.5|282.8|285.7|269.3|266.2|263.6|261.9|263.7|267.9|268.2|273.8|275.0|277.5|281.4|288.8|289.6|296.5|311.3|315.3|390.8|418.2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
Hardee|3730 Steve Roberts Special|Zolfo Springs|FL|33890|4|2|2387|NA|Manufactured Home,Single Family Residence|1998|Central,Electric|Central Air|Driveway|NA|NA|86.2|94.0|79.4|84.5|78.1|74.9|74.5|73.3|73.2|75.3|76.2|76.0|79.1|74.2|77.4|78.5|89.2|91.4|83.8|82.9|84.9|85.3|87.1|88.0|86.6|87.3|83.5|83.3|86.7|91.0|92.0|90.9|89.1|90.5|93.6|90.2|91.6|94.3|96.6|98.3|99.6|100.3|101.2|102.0|101.5|101.0|103.7|105.0|105.6|105.1|106.4|112.4|114.7|112.7|120.2|118.8|122.8|122.0|116.9|122.2|121.6|117.0|124.2|124.5|117.6|120.3|121.2|123.6|123.2|125.4|129.4|126.3|126.5|127.1|127.0|127.1|127.1|127.7|127.6|128.8|130.0|131.1|144.0|146.9|148.2|141.8|144.5|149.3|156.3|156.2|151.2|148.2|140.8|139.7|141.8|142.8|140.6|82.8|80.2|148.6|147.2|142.5|146.5|147.1|148.3|153.1|152.4|153.4|162.9|164.0|207.0|215.1|215.6|217.6|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
Hardee|804 Kohala Ave|Wauchula|FL|33873|3|2|1910|NA|Single Family Residence|1930|Electric|Central Air|NA|NA|0.37 Acres|80.1|73.3|73.0|69.0|66.7|66.1|67.2|71.7|67.6|70.0|68.5|73.6|72.2|72.9|66.9|67.3|67.9|66.0|67.1|70.4|67.3|68.4|69.9|69.7|69.8|81.0|83.6|84.6|90.1|89.7|87.7|93.8|95.7|92.4|93.4|94.3|92.8|91.4|91.0|93.0|92.0|91.2|92.7|93.7|90.1|94.4|95.6|93.9|96.7|95.3|65.2|65.7|66.1|66.6|67.2|67.8|68.3|68.8|69.3|69.8|70.3|70.8|71.3|71.9|72.5|73.0|73.5|74.0|74.5|75.1|75.6|76.2|76.7|77.2|77.9|78.4|79.0|79.5|63.1|65.5|65.5|67.2|82.1|82.5|82.8|83.2|84.2|88.9|93.8|89.5|88.7|89.0|82.1|86.3|85.0|83.0|83.6|84.6|86.7|85.0|83.9|79.6|78.9|80.3|80.7|80.7|82.1|81.0|79.4|81.2|79.9|66.3|64.8|58.5|58.0|56.9|57.7|160.5|163.9|241.8|228.7|NA|NA|NA
Franklin|107 Sanborn Rd|Carrabelle|FL|32322|3|2|2176|NA|Single Family Residence|1996|Central,Electric,Wood|Central Air,Electric|Driveway|NA|1.85 Acres|105.5|107.0|107.0|107.1|110.6|108.9|110.6|110.8|108.6|105.9|112.2|114.1|113.2|110.6|111.4|110.4|112.8|113.9|114.8|117.9|120.4|118.5|122.3|122.0|125.8|124.0|132.4|131.3|131.0|132.4|134.7|136.9|138.1|138.3|139.1|138.5|138.8|137.5|139.9|143.1|144.9|144.7|145.6|143.8|142.2|143.2|144.6|150.1|151.0|144.1|143.6|143.0|146.4|146.9|149.3|147.1|147.5|148.4|147.1|151.0|151.0|154.8|156.6|157.5|156.8|157.5|156.8|158.9|158.4|163.4|157.5|156.4|159.2|159.2|159.6|160.7|158.3|161.6|165.7|166.2|172.6|170.8|169.0|169.4|172.0|174.4|171.5|184.3|182.1|184.6|178.2|174.1|177.6|178.9|177.6|178.5|182.4|183.8|186.8|187.4|189.1|183.5|175.9|166.2|167.0|162.6|162.5|165.6|169.2|168.3|174.7|181.4|182.3|170.4|171.2|179.6|180.4|229.7|276.5|273.1|271.3|NA|NA|NA
Hardee|219 Cracker Ln|Wauchula|FL|33873|3|2|1620|NA|SINGLE_FAMILY|2002|Forced air|Central|NA|NA|1.25 Acres|56.9|54.7|54.6|54.7|55.7|55.7|55.9|55.9|56.1|56.2|56.5|57.6|59.0|59.7|59.2|61.8|62.6|61.9|62.2|65.5|63.8|65.7|64.0|65.4|65.7|63.3|66.4|69.7|75.4|78.1|79.3|87.5|90.8|86.8|40.1|40.4|40.6|40.9|41.2|41.5|41.9|42.2|42.6|42.9|43.2|43.6|43.9|44.2|44.6|44.9|45.2|45.5|45.8|46.2|46.6|47.0|47.4|47.7|48.0|48.4|48.7|49.1|49.4|49.9|50.2|50.6|51.0|51.3|51.7|52.1|56.2|67.5|78.9|84.5|85.2|83.4|83.6|83.1|83.5|84.9|91.2|91.2|90.0|90.3|87.0|91.1|92.9|90.6|91.8|94.3|101.5|93.0|94.6|100.8|97.1|96.9|99.6|100.2|95.8|101.0|103.2|106.1|105.2|108.2|103.4|102.7|101.8|106.1|105.1|105.5|106.5|108.7|117.1|115.1|114.5|120.0|119.7|145.9|162.3|167.5|170.4|NA|NA|NA
Hardee|4427 Us Highway 17 N|Bowling Green|FL|33834|3|1|1288|NA|SINGLE_FAMILY|1924|Forced air|Central|NA|NA|0.28 Acres|36.4|39.4|41.3|40.8|48.5|45.5|41.8|46.5|41.5|43.2|48.7|42.4|48.7|45.5|48.9|50.3|50.7|53.8|52.7|53.2|54.2|52.7|56.4|51.9|53.5|49.4|51.5|50.1|51.8|48.2|47.0|50.9|52.5|53.4|51.4|49.9|50.0|48.6|51.3|49.7|47.9|46.5|50.9|50.7|52.7|53.5|55.2|55.9|55.3|56.6|59.7|59.4|63.1|60.4|62.3|61.5|63.1|63.3|64.3|66.1|61.3|70.4|71.2|71.3|69.0|66.6|68.6|68.3|70.4|68.3|69.1|71.4|69.9|74.5|77.7|77.1|72.4|70.4|72.8|71.3|70.8|71.5|74.5|73.0|75.3|74.8|71.5|73.2|73.9|73.8|71.6|46.1|49.8|47.2|45.9|48.9|47.3|47.4|45.9|47.8|47.8|44.8|44.6|51.8|51.9|52.7|53.3|53.8|54.5|54.1|53.9|56.1|60.8|59.6|59.2|61.4|63.0|131.6|133.8|134.1|135.0|NA|NA|NA
Hardee|406 Tulane Ave|Wauchula|FL|33873|3|1|966|NA|SINGLE_FAMILY|1952|Forced air|Wall|3 Parking spaces|NA|4,791 sqft|17.7|20.7|18.3|19.6|20.7|22.4|21.2|19.5|22.0|20.6|20.2|20.9|20.7|22.5|20.1|19.9|20.8|21.7|22.1|21.7|21.2|21.7|22.1|22.2|21.5|24.8|21.6|22.8|26.9|28.5|25.3|27.5|30.2|32.6|33.1|29.1|25.5|32.6|34.3|31.1|32.9|35.6|33.9|34.6|33.4|35.0|33.3|37.3|35.6|33.9|33.7|36.0|36.7|38.0|41.2|40.2|39.2|38.8|36.7|39.3|40.1|45.0|39.0|37.6|46.0|39.9|38.2|35.8|35.8|37.1|42.1|40.1|43.2|41.6|39.5|38.0|39.4|38.6|40.6|39.1|37.6|38.1|40.0|36.6|40.3|40.0|41.0|40.6|38.0|38.5|40.0|42.1|43.2|43.5|45.0|45.8|45.5|47.3|46.6|47.2|48.3|51.2|52.2|50.1|49.0|49.2|49.2|49.3|48.5|48.4|49.5|50.4|47.8|48.7|49.5|53.8|53.0|57.2|60.5|70.0|66.9|NA|NA|NA
Hardee|619 Green St|Wauchula|FL|33873|2|1|956|NA|Other|1940|Other|Wall|2 Parking spaces|NA|7,405 sqft|34.2|34.1|34.0|34.0|34.1|34.1|34.1|34.2|34.2|34.3|34.5|34.7|34.9|35.2|35.5|35.7|36.0|36.2|35.8|32.0|29.6|28.8|26.2|24.9|25.7|25.0|26.1|25.4|27.1|28.6|27.5|27.4|30.2|29.5|29.5|29.3|29.9|32.1|32.1|29.9|29.0|29.1|29.5|29.6|28.8|28.7|29.0|29.1|29.3|29.7|28.7|31.9|31.8|28.9|30.4|30.9|28.7|29.2|29.7|31.5|30.3|32.5|31.1|32.8|31.7|31.5|31.6|31.6|31.0|31.1|32.0|32.5|30.7|31.7|32.2|32.5|36.0|34.2|36.1|35.0|35.3|32.9|36.6|34.9|34.7|35.6|34.9|34.8|36.3|35.4|35.2|37.0|37.3|37.3|36.3|38.9|42.3|38.9|39.4|40.9|33.2|34.9|33.6|80.1|77.3|81.6|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
Franklin|20 Fiesta Dr|Alligator Pt|FL|32346|3|3|1196|NA|Single Family Residence|1982|Central,Wood|Central Air,Ceiling Fan(s)|2 Carport spaces|NA|9,583 sqft|311.8|290.0|276.8|275.2|275.0|274.8|274.8|278.1|287.2|284.9|285.4|288.2|298.1|295.3|301.4|295.4|287.9|289.9|309.3|298.4|314.2|303.4|316.6|304.3|294.5|305.4|285.3|283.4|283.5|278.7|275.4|277.3|257.1|260.8|231.1|223.0|222.5|224.4|225.2|226.5|228.7|225.2|221.9|226.4|234.1|226.5|229.5|233.7|231.9|202.2|203.3|204.6|206.3|199.7|207.8|213.0|213.4|219.6|217.1|214.8|211.7|219.8|213.4|211.1|204.8|206.0|207.5|210.4|198.4|213.9|212.5|207.3|227.4|226.4|240.4|245.1|282.4|279.2|280.2|267.1|242.4|247.4|243.4|251.8|258.3|245.4|254.1|251.8|267.5|266.0|260.3|259.7|256.4|260.4|253.9|259.4|260.4|268.3|279.4|280.2|277.4|278.5|273.5|264.3|267.9|269.3|270.7|275.6|273.0|277.7|280.2|279.7|280.6|269.7|272.3|292.0|307.2|309.4|353.2|353.6|351.9|NA|NA|NA
Monroe|915 Red Bird Rd|Key Largo|FL|33037|3|2|1600|NA|Single Family Residence|1965|Central|Ceiling Fan(s),Central Air|Open Parking|NA|6,000 sqft|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|354.9|352.8|344.8|332.4|337.7|346.8|349.6|368.2|381.3|302.7|305.6|311.1|309.2|321.0|312.0|312.7|326.0|325.1|333.1|323.7|318.0|319.1|290.7|277.0|285.3|314.9|319.1|317.2|312.3|306.5|307.8|306.7|306.7|306.2|302.2|302.7|268.9|285.7|326.8|329.5|331.9|331.3|331.2|331.8|331.5|330.7|337.5|346.6|347.0|351.0|356.1|354.2|354.0|358.3|352.0|358.7|356.1|357.9|356.3|350.7|351.4|347.3|354.5|351.2|356.9|352.3|359.5|363.9|367.0|368.1|532.0|530.6|532.4|526.7|535.6|534.6|525.8|526.3|532.2|530.8|539.5|NA|NA|NA
Hardee|5271 Norris Rd|Ona|FL|33865|2|2|2599|NA|SINGLE_FAMILY|1964|Forced air|Central|2 Parking spaces|NA|15.80 Acres|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|238.8|241.6|216.8|198.2|199.4|195.0|211.1|197.9|196.4|139.0|147.3|132.4|205.2|204.7|207.4|204.8|208.3|205.2|210.7|206.4|219.5|217.0|213.8|217.4|218.4|220.4|223.7|224.4|224.2|225.4|225.1|225.4|225.1|231.4|227.4|231.3|229.7|232.8|232.2|219.2|215.8|215.9|214.3|216.9|214.6|215.4|215.8|216.6|216.9|270.2|269.6|271.3|272.1|276.1|281.0|278.7|285.7|293.5|287.5|299.0|300.9|321.6|318.7|298.5|318.5|319.9|499.0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
